session_id,date,day_of_week,start_time,end_time,hour_of_day,time_of_day,duration_min,topic,topic_type,difficulty_1_5,sleep_hours,energy_before_1_10,distraction_level_1_10,break_before_days,location,device_used,completion_percent,focus_score_1_10,notes
S0156,2024-07-17,Wednesday,22:20,23:10,22,Night,50,Deep Learning,ML,5,7.0,4,2,1,University Library,Laptop,56,4,"Low energy, needed more breaks than expected"
S0157,2024-07-18,Thursday,14:10,16:10,14,Afternoon,120,Machine Learning,ML,4,6.7,7,2,0,Study Room,Tablet,81,7,"Decent session, some distractions but useful progress"
S0158,2024-07-19,Friday,10:00,11:00,10,Morning,60,Linear Algebra,Math,4,7.2,7,7,0,University Library,Notebook,73,5,Frequent interruptions reduced flow
S0159,2024-07-22,Monday,11:00,12:00,11,Morning,60,Linear Algebra,Math,4,7.0,10,4,2,Home Desk,Laptop,75,7,"Decent session, some distractions but useful progress"
S0160,2024-07-22,Monday,08:15,09:15,8,Morning,60,German Language,Language,3,7.9,7,3,0,University Library,Tablet,100,9,"High clarity, strong concentration, completed planned tasks"
S0161,2024-07-25,Thursday,12:20,13:05,12,Afternoon,45,Statistics,Math,4,6.5,8,1,2,University Library,Laptop,100,8,"High clarity, strong concentration, completed planned tasks"
S0162,2024-07-25,Thursday,15:45,16:20,15,Afternoon,35,Machine Learning,ML,4,7.2,7,5,0,Home Desk,Notebook,91,6,"Decent session, some distractions but useful progress"
S0163,2024-07-26,Friday,08:30,09:20,8,Morning,50,SQL Practice,Programming,3,6.7,4,4,0,Home Desk,Laptop + Notebook,80,5,"Low energy, needed more breaks than expected"
S0164,2024-07-29,Monday,20:00,22:15,20,Evening,135,Statistics,Math,4,8.6,7,1,2,Home Desk,Laptop + Notebook,83,6,"Decent session, some distractions but useful progress"
S0165,2024-07-29,Monday,16:00,17:45,16,Afternoon,105,Linear Algebra,Math,4,5.8,2,2,0,Cafe,Laptop + Notebook,80,5,"Low energy, needed more breaks than expected"
S0166,2024-07-30,Tuesday,21:10,23:25,21,Night,135,German Language,Language,3,7.5,4,2,0,Cafe,Laptop,63,5,"Low energy, needed more breaks than expected"
S0167,2024-07-31,Wednesday,18:45,20:00,18,Evening,75,Data Visualization,Data Analysis,2,5.7,5,4,0,Study Room,Tablet,75,6,"Decent session, some distractions but useful progress"
S0168,2024-08-01,Thursday,14:30,15:20,14,Afternoon,50,Deep Learning,ML,5,7.3,6,4,0,Study Room,Tablet,99,5,"Low energy, needed more breaks than expected"
S0169,2024-08-02,Friday,09:10,10:00,9,Morning,50,Python Programming,Programming,3,8.0,5,3,0,University Library,Notebook,74,5,"Low energy, needed more breaks than expected"
S0170,2024-08-07,Wednesday,08:15,09:05,8,Morning,50,German Language,Language,3,6.2,5,4,4,Study Room,Notebook,80,5,"Restart after long gap, took time to regain rhythm"
S0171,2024-08-08,Thursday,09:20,10:05,9,Morning,45,Generative AI,GenAI,4,7.5,8,4,0,Home Desk,Laptop,86,7,"Decent session, some distractions but useful progress"
S0172,2024-08-09,Friday,20:20,21:10,20,Evening,50,Linear Algebra,Math,4,7.5,8,5,0,Cafe,Laptop + Notebook,87,5,"Low energy, needed more breaks than expected"
S0173,2024-08-09,Friday,10:20,11:10,10,Morning,50,Statistics,Math,4,6.4,6,2,0,University Library,Laptop,95,7,"Decent session, some distractions but useful progress"
S0174,2024-08-10,Saturday,11:20,12:50,11,Morning,90,SQL Practice,Programming,3,8.3,6,3,0,Home Desk,Notebook,89,9,"High clarity, strong concentration, completed planned tasks"
S0175,2024-08-10,Saturday,10:30,11:30,10,Morning,60,Generative AI,GenAI,4,7.3,7,1,0,Home Desk,Tablet,85,9,"High clarity, strong concentration, completed planned tasks"
S0176,2024-08-11,Sunday,09:10,11:10,9,Morning,120,German Language,Language,3,7.1,6,3,0,Cafe,Laptop + Notebook,73,6,"Decent session, some distractions but useful progress"
S0177,2024-08-11,Sunday,08:10,09:00,8,Morning,50,SQL Practice,Programming,3,6.8,5,4,0,Cafe,Laptop + Notebook,87,7,"Decent session, some distractions but useful progress"
S0178,2024-08-12,Monday,10:45,12:00,10,Morning,75,Statistics,Math,4,9.0,9,7,0,University Library,Laptop,93,7,"Decent session, some distractions but useful progress"
S0179,2024-08-13,Tuesday,15:00,16:45,15,Afternoon,105,Deep Learning,ML,5,6.8,5,5,0,University Library,Laptop + Notebook,83,3,"Low energy, needed more breaks than expected"
S0180,2024-08-14,Wednesday,10:15,11:30,10,Morning,75,Machine Learning,ML,4,6.2,8,4,0,University Library,Notebook,90,7,"Decent session, some distractions but useful progress"
S0181,2024-08-19,Monday,10:15,11:30,10,Morning,75,Generative AI,GenAI,4,7.7,5,3,4,University Library,Laptop,68,5,"Restart after long gap, took time to regain rhythm"
S0182,2024-08-22,Thursday,11:00,12:15,11,Morning,75,Deep Learning,ML,5,7.8,8,4,2,University Library,Notebook,97,7,"Decent session, some distractions but useful progress"
S0183,2024-08-26,Monday,08:45,09:30,8,Morning,45,German Language,Language,3,6.0,10,4,3,Study Room,Notebook,79,8,"High clarity, strong concentration, completed planned tasks"
S0184,2024-08-26,Monday,18:20,19:35,18,Evening,75,German Language,Language,3,7.7,7,2,0,University Library,Tablet,94,8,"High clarity, strong concentration, completed planned tasks"
S0185,2024-08-27,Tuesday,08:30,10:15,8,Morning,105,Deep Learning,ML,5,7.6,7,5,0,Home Desk,Laptop,94,7,"Decent session, some distractions but useful progress"
S0186,2024-08-28,Wednesday,16:30,18:00,16,Afternoon,90,Deep Learning,ML,5,7.8,7,3,0,Study Room,Laptop,93,6,"Decent session, some distractions but useful progress"
S0187,2024-08-29,Thursday,15:00,17:00,15,Afternoon,120,SQL Practice,Programming,3,6.6,6,2,0,Home Desk,Laptop + Notebook,100,7,"Decent session, some distractions but useful progress"
S0188,2024-08-30,Friday,15:30,17:00,15,Afternoon,90,Data Visualization,Data Analysis,2,8.0,5,3,0,Home Desk,Laptop + Notebook,78,8,"High clarity, strong concentration, completed planned tasks"
S0189,2024-09-01,Sunday,09:20,09:55,9,Morning,35,Machine Learning,ML,4,5.0,6,2,1,Cafe,Tablet,100,7,"Decent session, some distractions but useful progress"
S0190,2024-09-03,Tuesday,10:20,10:55,10,Morning,35,Deep Learning,ML,5,5.8,7,2,1,Home Desk,Notebook,97,8,"High clarity, strong concentration, completed planned tasks"
S0191,2024-09-03,Tuesday,14:30,15:05,14,Afternoon,35,Statistics,Math,4,5.9,7,3,0,Study Room,Laptop,91,5,"Low energy, needed more breaks than expected"
S0192,2024-09-05,Thursday,12:30,13:45,12,Afternoon,75,SQL Practice,Programming,3,6.7,9,1,1,University Library,Laptop + Notebook,95,9,"High clarity, strong concentration, completed planned tasks"
S0193,2024-09-05,Thursday,16:30,18:15,16,Afternoon,105,Machine Learning,ML,4,7.8,8,3,0,University Library,Tablet,100,9,"High clarity, strong concentration, completed planned tasks"
S0194,2024-09-06,Friday,15:45,17:45,15,Afternoon,120,Linear Algebra,Math,4,7.1,5,2,0,University Library,Tablet,74,7,"Decent session, some distractions but useful progress"
S0195,2024-09-07,Saturday,10:45,12:00,10,Morning,75,Linear Algebra,Math,4,5.9,5,3,0,Home Desk,Notebook,95,7,"Decent session, some distractions but useful progress"
S0196,2024-09-08,Sunday,09:45,11:30,9,Morning,105,Generative AI,GenAI,4,7.1,7,6,0,Study Room,Laptop + Notebook,93,8,"High clarity, strong concentration, completed planned tasks"
S0197,2024-09-09,Monday,16:20,17:50,16,Afternoon,90,Statistics,Math,4,7.2,3,3,0,Study Room,Notebook,92,6,"Decent session, some distractions but useful progress"
S0198,2024-09-10,Tuesday,10:00,12:15,10,Morning,135,Big Data Analytics,Data Engineering,4,6.3,4,5,0,University Library,Laptop + Notebook,62,4,"Low energy, needed more breaks than expected"
S0199,2024-09-11,Wednesday,10:00,11:45,10,Morning,105,SQL Practice,Programming,3,7.0,8,4,0,University Library,Tablet,96,7,"Decent session, some distractions but useful progress"
S0200,2024-09-12,Thursday,10:10,11:00,10,Morning,50,Big Data Analytics,Data Engineering,4,6.8,7,5,0,Home Desk,Notebook,93,6,"Decent session, some distractions but useful progress"
S0201,2024-09-12,Thursday,16:30,17:05,16,Afternoon,35,Python Programming,Programming,3,7.2,6,1,0,Home Desk,Tablet,100,7,"Decent session, some distractions but useful progress"
S0202,2024-09-13,Friday,15:15,16:05,15,Afternoon,50,Deep Learning,ML,5,5.8,6,1,0,Cafe,Laptop + Notebook,80,5,"Low energy, needed more breaks than expected"
S0203,2024-09-17,Tuesday,15:20,16:50,15,Afternoon,90,Linear Algebra,Math,4,7.2,9,1,3,University Library,Laptop,98,8,"High clarity, strong concentration, completed planned tasks"
S0204,2024-09-18,Wednesday,16:15,18:00,16,Afternoon,105,SQL Practice,Programming,3,7.4,9,2,0,Home Desk,Tablet,100,8,"High clarity, strong concentration, completed planned tasks"
S0205,2024-09-18,Wednesday,09:20,11:05,9,Morning,105,SQL Practice,Programming,3,8.0,4,6,0,Home Desk,Laptop + Notebook,80,6,"Decent session, some distractions but useful progress"
S0206,2024-09-20,Friday,16:45,18:45,16,Afternoon,120,Big Data Analytics,Data Engineering,4,6.2,6,7,1,Study Room,Laptop,74,4,Frequent interruptions reduced flow
S0207,2024-09-20,Friday,11:00,12:15,11,Morning,75,Data Visualization,Data Analysis,2,8.2,9,6,0,Study Room,Laptop + Notebook,82,8,"High clarity, strong concentration, completed planned tasks"
S0208,2024-09-21,Saturday,09:30,10:05,9,Morning,35,Data Visualization,Data Analysis,2,7.0,6,4,0,University Library,Notebook,92,6,"Decent session, some distractions but useful progress"
S0209,2024-09-24,Tuesday,11:20,13:20,11,Morning,120,German Language,Language,3,6.8,7,7,2,Study Room,Tablet,69,4,Frequent interruptions reduced flow
S0210,2024-09-25,Wednesday,16:20,17:50,16,Afternoon,90,Machine Learning,ML,4,7.2,6,4,0,Cafe,Tablet,78,6,"Decent session, some distractions but useful progress"
S0211,2024-09-26,Thursday,12:15,13:00,12,Afternoon,45,Python Programming,Programming,3,5.0,7,4,0,Study Room,Laptop + Notebook,81,6,"Decent session, some distractions but useful progress"
S0212,2024-09-26,Thursday,08:20,08:55,8,Morning,35,SQL Practice,Programming,3,7.6,6,3,0,Study Room,Laptop + Notebook,100,9,"High clarity, strong concentration, completed planned tasks"
S0213,2024-09-27,Friday,15:10,15:55,15,Afternoon,45,Statistics,Math,4,6.6,8,6,0,Cafe,Tablet,93,6,"Decent session, some distractions but useful progress"
S0214,2024-09-28,Saturday,14:10,15:10,14,Afternoon,60,Generative AI,GenAI,4,7.3,5,6,0,Home Desk,Tablet,67,4,"Low energy, needed more breaks than expected"
S0215,2024-09-29,Sunday,14:45,16:30,14,Afternoon,105,German Language,Language,3,9.5,7,3,0,Home Desk,Laptop,100,9,"High clarity, strong concentration, completed planned tasks"
S0216,2024-10-01,Tuesday,22:45,00:00,22,Night,75,Statistics,Math,4,7.6,6,3,1,University Library,Notebook,64,4,"Low energy, needed more breaks than expected"
S0217,2024-10-03,Thursday,15:00,16:45,15,Afternoon,105,Python Programming,Programming,3,8.1,6,1,1,University Library,Tablet,75,8,"High clarity, strong concentration, completed planned tasks"
S0218,2024-10-04,Friday,15:10,16:10,15,Afternoon,60,Generative AI,GenAI,4,6.6,7,1,0,Cafe,Laptop + Notebook,97,7,"Decent session, some distractions but useful progress"
S0219,2024-10-06,Sunday,10:45,11:35,10,Morning,50,Machine Learning,ML,4,7.7,8,1,1,Cafe,Laptop + Notebook,94,8,"High clarity, strong concentration, completed planned tasks"
S0220,2024-10-07,Monday,08:30,09:20,8,Morning,50,Generative AI,GenAI,4,6.7,5,2,0,Study Room,Laptop,90,6,"Decent session, some distractions but useful progress"
S0221,2024-10-07,Monday,15:20,16:20,15,Afternoon,60,Deep Learning,ML,5,8.6,7,3,0,Cafe,Notebook,100,7,"Decent session, some distractions but useful progress"
S0222,2024-10-08,Tuesday,20:10,21:40,20,Evening,90,Python Programming,Programming,3,7.4,6,3,0,Study Room,Laptop,76,5,"Low energy, needed more breaks than expected"
S0223,2024-10-09,Wednesday,07:45,09:15,7,Morning,90,Statistics,Math,4,6.3,8,3,0,Home Desk,Laptop,89,5,"Low energy, needed more breaks than expected"
S0224,2024-10-10,Thursday,08:45,09:20,8,Morning,35,German Language,Language,3,7.3,7,3,0,University Library,Laptop + Notebook,80,7,"Decent session, some distractions but useful progress"
S0225,2024-10-11,Friday,10:45,11:35,10,Morning,50,Generative AI,GenAI,4,7.2,6,1,0,University Library,Laptop + Notebook,88,8,"High clarity, strong concentration, completed planned tasks"
S0226,2024-10-13,Sunday,09:10,09:45,9,Morning,35,Python Programming,Programming,3,7.1,7,3,1,Home Desk,Laptop + Notebook,86,7,"Decent session, some distractions but useful progress"
S0227,2024-10-14,Monday,10:45,12:00,10,Morning,75,Big Data Analytics,Data Engineering,4,7.4,7,1,0,Cafe,Tablet,86,9,"High clarity, strong concentration, completed planned tasks"
S0228,2024-10-16,Wednesday,11:15,12:30,11,Morning,75,Big Data Analytics,Data Engineering,4,7.0,7,1,1,Home Desk,Laptop,96,9,"High clarity, strong concentration, completed planned tasks"
S0229,2024-10-17,Thursday,14:30,16:15,14,Afternoon,105,Generative AI,GenAI,4,7.5,4,6,0,Study Room,Laptop + Notebook,70,4,"Low energy, needed more breaks than expected"
S0230,2024-10-17,Thursday,15:15,16:05,15,Afternoon,50,German Language,Language,3,6.9,6,7,0,University Library,Laptop + Notebook,67,5,Frequent interruptions reduced flow
S0231,2024-10-18,Friday,12:30,13:20,12,Afternoon,50,Statistics,Math,4,7.7,6,3,0,University Library,Tablet,87,6,"Decent session, some distractions but useful progress"
S0232,2024-10-20,Sunday,08:45,10:15,8,Morning,90,Machine Learning,ML,4,7.3,8,4,1,Home Desk,Tablet,99,7,"Decent session, some distractions but useful progress"
S0233,2024-10-20,Sunday,21:10,23:25,21,Night,135,Data Visualization,Data Analysis,2,6.2,4,5,0,Cafe,Laptop + Notebook,82,3,"Low energy, needed more breaks than expected"
S0234,2024-10-23,Wednesday,15:20,16:50,15,Afternoon,90,Deep Learning,ML,5,7.7,6,4,2,University Library,Laptop,78,5,"Low energy, needed more breaks than expected"
S0235,2024-10-25,Friday,21:30,22:05,21,Night,35,Generative AI,GenAI,4,5.9,6,2,1,University Library,Tablet,85,4,"Low energy, needed more breaks than expected"
S0236,2024-10-25,Friday,15:15,17:15,15,Afternoon,120,Statistics,Math,4,7.2,6,6,0,Home Desk,Laptop,99,5,"Low energy, needed more breaks than expected"
S0237,2024-10-27,Sunday,12:00,13:45,12,Afternoon,105,German Language,Language,3,7.1,3,1,1,Home Desk,Notebook,76,6,"Decent session, some distractions but useful progress"
S0238,2024-10-29,Tuesday,20:00,21:15,20,Evening,75,Linear Algebra,Math,4,7.3,6,3,1,Home Desk,Laptop + Notebook,75,6,"Decent session, some distractions but useful progress"
S0239,2024-10-30,Wednesday,09:30,11:15,9,Morning,105,German Language,Language,3,7.3,8,1,0,Study Room,Tablet,98,9,"High clarity, strong concentration, completed planned tasks"
S0240,2024-10-31,Thursday,10:45,12:30,10,Morning,105,German Language,Language,3,8.0,6,2,0,Home Desk,Laptop + Notebook,100,8,"High clarity, strong concentration, completed planned tasks"
S0241,2024-10-31,Thursday,21:00,21:45,21,Night,45,Data Visualization,Data Analysis,2,7.9,6,2,0,Study Room,Tablet,70,5,"Low energy, needed more breaks than expected"
S0242,2024-11-01,Friday,08:10,10:10,8,Morning,120,German Language,Language,3,6.9,8,4,0,Home Desk,Tablet,96,7,"Decent session, some distractions but useful progress"
S0243,2024-11-05,Tuesday,10:20,12:05,10,Morning,105,Data Visualization,Data Analysis,2,7.3,7,2,3,Cafe,Tablet,81,9,"High clarity, strong concentration, completed planned tasks"
S0244,2024-11-05,Tuesday,09:10,11:10,9,Morning,120,Python Programming,Programming,3,8.6,5,4,0,University Library,Tablet,92,8,"High clarity, strong concentration, completed planned tasks"
S0245,2024-11-06,Wednesday,15:30,16:05,15,Afternoon,35,Big Data Analytics,Data Engineering,4,7.0,5,1,0,Cafe,Laptop,80,7,"Decent session, some distractions but useful progress"
S0246,2024-11-06,Wednesday,09:00,10:45,9,Morning,105,Python Programming,Programming,3,8.5,6,5,0,University Library,Notebook,90,8,"High clarity, strong concentration, completed planned tasks"
S0247,2024-11-07,Thursday,15:15,16:15,15,Afternoon,60,Linear Algebra,Math,4,7.8,7,3,0,Study Room,Tablet,75,8,"High clarity, strong concentration, completed planned tasks"
S0248,2024-11-08,Friday,20:30,21:45,20,Evening,75,Big Data Analytics,Data Engineering,4,6.1,8,1,0,Study Room,Laptop,100,8,"High clarity, strong concentration, completed planned tasks"
S0249,2024-11-09,Saturday,18:10,20:10,18,Evening,120,Data Visualization,Data Analysis,2,6.8,6,4,0,Study Room,Tablet,78,5,"Low energy, needed more breaks than expected"
S0250,2024-11-11,Monday,11:15,12:45,11,Morning,90,Linear Algebra,Math,4,7.8,5,4,1,University Library,Notebook,95,7,"Decent session, some distractions but useful progress"
S0251,2024-11-12,Tuesday,09:45,10:35,9,Morning,50,Linear Algebra,Math,4,7.0,6,7,0,Study Room,Tablet,73,4,Frequent interruptions reduced flow
S0252,2024-11-12,Tuesday,12:30,13:05,12,Afternoon,35,Python Programming,Programming,3,6.5,6,3,0,Cafe,Tablet,90,5,"Low energy, needed more breaks than expected"
S0253,2024-11-15,Friday,09:30,11:45,9,Morning,135,German Language,Language,3,6.3,6,5,2,University Library,Laptop + Notebook,94,5,"Low energy, needed more breaks than expected"
S0254,2024-11-15,Friday,11:30,13:15,11,Morning,105,SQL Practice,Programming,3,6.3,5,1,0,Cafe,Notebook,100,8,"High clarity, strong concentration, completed planned tasks"
S0255,2024-11-19,Tuesday,20:45,21:30,20,Evening,45,Python Programming,Programming,3,6.3,6,5,3,University Library,Laptop,70,3,"Restart after long gap, took time to regain rhythm"
S0256,2024-11-20,Wednesday,10:10,11:25,10,Morning,75,Data Visualization,Data Analysis,2,6.9,6,1,0,Study Room,Tablet,95,10,"High clarity, strong concentration, completed planned tasks"
S0257,2024-11-21,Thursday,21:45,00:00,21,Night,135,Statistics,Math,4,5.8,7,4,0,Cafe,Notebook,63,3,"Low energy, needed more breaks than expected"
S0258,2024-11-22,Friday,11:15,13:00,11,Morning,105,Deep Learning,ML,5,6.5,8,3,0,Study Room,Tablet,89,9,"High clarity, strong concentration, completed planned tasks"
S0259,2024-11-25,Monday,16:30,18:00,16,Afternoon,90,Linear Algebra,Math,4,6.9,8,5,2,Cafe,Tablet,97,7,"Decent session, some distractions but useful progress"
S0260,2024-11-26,Tuesday,16:20,17:20,16,Afternoon,60,Generative AI,GenAI,4,7.7,5,4,0,Home Desk,Laptop + Notebook,76,5,"Low energy, needed more breaks than expected"
S0261,2024-11-28,Thursday,21:15,22:30,21,Night,75,Statistics,Math,4,6.0,5,3,1,Home Desk,Laptop + Notebook,73,4,"Low energy, needed more breaks than expected"
S0262,2024-11-30,Saturday,12:10,13:10,12,Afternoon,60,Deep Learning,ML,5,7.8,6,1,1,University Library,Notebook,100,8,"High clarity, strong concentration, completed planned tasks"
S0263,2024-12-02,Monday,09:45,10:20,9,Morning,35,SQL Practice,Programming,3,7.8,4,2,1,Home Desk,Laptop + Notebook,100,8,"High clarity, strong concentration, completed planned tasks"
S0264,2024-12-02,Monday,10:10,11:25,10,Morning,75,Data Visualization,Data Analysis,2,7.2,7,4,0,Study Room,Laptop,88,8,"High clarity, strong concentration, completed planned tasks"
S0265,2024-12-03,Tuesday,20:45,21:20,20,Evening,35,SQL Practice,Programming,3,8.5,5,7,0,Study Room,Tablet,72,3,Frequent interruptions reduced flow
S0266,2024-12-04,Wednesday,20:20,22:20,20,Evening,120,Python Programming,Programming,3,7.2,6,4,0,University Library,Laptop,79,4,"Low energy, needed more breaks than expected"
S0267,2024-12-05,Thursday,10:15,12:30,10,Morning,135,Big Data Analytics,Data Engineering,4,7.3,4,4,0,Study Room,Laptop + Notebook,88,5,"Low energy, needed more breaks than expected"
S0268,2024-12-06,Friday,10:15,11:00,10,Morning,45,SQL Practice,Programming,3,5.2,5,3,0,Home Desk,Tablet,71,5,"Low energy, needed more breaks than expected"
S0269,2024-12-08,Sunday,20:10,22:10,20,Evening,120,Machine Learning,ML,4,6.9,5,4,1,Home Desk,Laptop + Notebook,56,4,"Low energy, needed more breaks than expected"
S0270,2024-12-09,Monday,08:10,10:25,8,Morning,135,Deep Learning,ML,5,6.8,7,6,0,Cafe,Notebook,69,4,"Low energy, needed more breaks than expected"
S0271,2024-12-09,Monday,18:10,19:00,18,Evening,50,Data Visualization,Data Analysis,2,7.2,7,8,0,Cafe,Tablet,68,4,Frequent interruptions reduced flow
S0272,2024-12-10,Tuesday,18:15,19:15,18,Evening,60,Data Visualization,Data Analysis,2,7.1,6,4,0,Cafe,Laptop + Notebook,85,6,"Decent session, some distractions but useful progress"
S0273,2024-12-12,Thursday,20:30,22:45,20,Evening,135,Python Programming,Programming,3,7.3,4,2,1,Cafe,Tablet,75,5,"Low energy, needed more breaks than expected"
S0274,2024-12-15,Sunday,15:20,16:10,15,Afternoon,50,Deep Learning,ML,5,6.8,9,1,2,Study Room,Laptop,100,9,"High clarity, strong concentration, completed planned tasks"
S0275,2024-12-15,Sunday,20:15,21:45,20,Evening,90,Machine Learning,ML,4,8.0,9,4,0,Cafe,Laptop + Notebook,99,8,"High clarity, strong concentration, completed planned tasks"
S0276,2024-12-16,Monday,09:45,11:30,9,Morning,105,Linear Algebra,Math,4,7.1,5,2,0,Study Room,Tablet,87,6,"Decent session, some distractions but useful progress"
S0277,2024-12-18,Wednesday,16:20,18:35,16,Afternoon,135,Statistics,Math,4,6.2,7,2,1,Home Desk,Laptop,86,5,"Low energy, needed more breaks than expected"
S0278,2024-12-19,Thursday,10:10,11:40,10,Morning,90,Data Visualization,Data Analysis,2,6.3,7,1,0,Study Room,Laptop,87,9,"High clarity, strong concentration, completed planned tasks"
S0279,2024-12-20,Friday,09:15,10:05,9,Morning,50,Linear Algebra,Math,4,5.9,6,3,0,University Library,Laptop,82,5,"Low energy, needed more breaks than expected"
S0280,2024-12-20,Friday,14:45,17:00,14,Afternoon,135,Data Visualization,Data Analysis,2,5.4,6,3,0,Home Desk,Laptop,73,6,"Decent session, some distractions but useful progress"
S0281,2024-12-22,Sunday,09:20,11:35,9,Morning,135,Data Visualization,Data Analysis,2,4.9,6,3,1,University Library,Tablet,84,6,"Decent session, some distractions but useful progress"
S0282,2024-12-23,Monday,15:00,16:30,15,Afternoon,90,Data Visualization,Data Analysis,2,7.4,8,2,0,Home Desk,Tablet,100,6,"Decent session, some distractions but useful progress"
S0283,2024-12-25,Wednesday,15:00,16:45,15,Afternoon,105,Data Visualization,Data Analysis,2,7.1,9,3,1,Cafe,Notebook,94,7,"Decent session, some distractions but useful progress"
S0284,2024-12-26,Thursday,14:30,16:45,14,Afternoon,135,Linear Algebra,Math,4,7.4,3,1,0,University Library,Tablet,71,6,"Decent session, some distractions but useful progress"
S0285,2024-12-28,Saturday,09:10,09:45,9,Morning,35,Deep Learning,ML,5,6.8,4,1,1,Cafe,Laptop + Notebook,89,6,"Decent session, some distractions but useful progress"
S0286,2024-12-29,Sunday,15:15,16:00,15,Afternoon,45,Linear Algebra,Math,4,7.6,6,4,0,University Library,Laptop + Notebook,76,6,"Decent session, some distractions but useful progress"
S0287,2025-01-01,Wednesday,20:20,21:20,20,Evening,60,Machine Learning,ML,4,7.4,8,2,2,Home Desk,Notebook,95,6,"Decent session, some distractions but useful progress"
S0288,2025-01-02,Thursday,14:45,17:00,14,Afternoon,135,Data Visualization,Data Analysis,2,7.3,8,3,0,Study Room,Laptop,100,10,"High clarity, strong concentration, completed planned tasks"
S0289,2025-01-03,Friday,16:00,17:00,16,Afternoon,60,Generative AI,GenAI,4,6.5,3,3,0,University Library,Notebook,78,5,"Low energy, needed more breaks than expected"
S0290,2025-01-04,Saturday,08:30,09:15,8,Morning,45,Big Data Analytics,Data Engineering,4,5.8,8,3,0,University Library,Notebook,97,8,"High clarity, strong concentration, completed planned tasks"
S0291,2025-01-06,Monday,15:00,15:45,15,Afternoon,45,Statistics,Math,4,5.9,5,2,1,Study Room,Notebook,68,3,"Low energy, needed more breaks than expected"
S0292,2025-01-09,Thursday,09:10,10:00,9,Morning,50,Statistics,Math,4,5.9,8,3,2,Study Room,Laptop + Notebook,77,7,"Decent session, some distractions but useful progress"
S0293,2025-01-11,Saturday,10:00,10:35,10,Morning,35,Big Data Analytics,Data Engineering,4,6.1,7,1,1,Cafe,Tablet,100,9,"High clarity, strong concentration, completed planned tasks"
S0294,2025-01-12,Sunday,08:10,09:00,8,Morning,50,Machine Learning,ML,4,7.7,7,4,0,Home Desk,Laptop,89,6,"Decent session, some distractions but useful progress"
S0295,2025-01-12,Sunday,10:20,11:05,10,Morning,45,Python Programming,Programming,3,5.7,5,2,0,Home Desk,Notebook,95,7,"Decent session, some distractions but useful progress"
S0296,2025-01-13,Monday,20:45,22:00,20,Evening,75,German Language,Language,3,6.3,5,8,0,Study Room,Notebook,57,2,Frequent interruptions reduced flow
S0297,2025-01-14,Tuesday,09:15,10:15,9,Morning,60,German Language,Language,3,7.2,8,2,0,University Library,Tablet,99,9,"High clarity, strong concentration, completed planned tasks"
S0298,2025-01-14,Tuesday,16:15,17:30,16,Afternoon,75,Python Programming,Programming,3,7.0,5,4,0,Cafe,Notebook,93,6,"Decent session, some distractions but useful progress"
S0299,2025-01-15,Wednesday,14:20,15:10,14,Afternoon,50,Machine Learning,ML,4,8.8,6,5,0,Cafe,Tablet,66,6,"Decent session, some distractions but useful progress"
S0300,2025-01-15,Wednesday,12:10,13:40,12,Afternoon,90,Generative AI,GenAI,4,8.2,5,4,0,Study Room,Laptop + Notebook,92,7,"Decent session, some distractions but useful progress"
S0301,2025-01-16,Thursday,09:15,10:05,9,Morning,50,Python Programming,Programming,3,6.9,6,5,0,Home Desk,Laptop + Notebook,80,6,"Decent session, some distractions but useful progress"
S0302,2025-01-20,Monday,07:00,07:45,7,Morning,45,Deep Learning,ML,5,4.7,8,2,3,Study Room,Laptop,82,3,"Restart after long gap, took time to regain rhythm"
S0303,2025-01-20,Monday,09:15,10:00,9,Morning,45,Python Programming,Programming,3,7.0,5,1,0,Home Desk,Tablet,100,8,"High clarity, strong concentration, completed planned tasks"
S0304,2025-01-21,Tuesday,12:00,12:50,12,Afternoon,50,SQL Practice,Programming,3,5.9,4,5,0,Cafe,Laptop + Notebook,73,3,"Low energy, needed more breaks than expected"
S0305,2025-01-22,Wednesday,08:20,09:10,8,Morning,50,Generative AI,GenAI,4,7.3,5,5,0,Cafe,Tablet,83,6,"Decent session, some distractions but useful progress"
S0306,2025-01-23,Thursday,16:15,18:15,16,Afternoon,120,SQL Practice,Programming,3,7.0,4,5,0,Home Desk,Notebook,86,4,"Low energy, needed more breaks than expected"
S0307,2025-01-24,Friday,10:45,11:30,10,Morning,45,Deep Learning,ML,5,8.0,6,4,0,Cafe,Laptop + Notebook,88,7,"Decent session, some distractions but useful progress"
S0308,2025-01-24,Friday,11:20,12:50,11,Morning,90,German Language,Language,3,7.1,7,6,0,Study Room,Tablet,86,6,"Decent session, some distractions but useful progress"
S0309,2025-01-25,Saturday,09:20,10:05,9,Morning,45,Big Data Analytics,Data Engineering,4,7.5,8,2,0,University Library,Laptop,100,9,"High clarity, strong concentration, completed planned tasks"
S0310,2025-01-26,Sunday,11:15,13:00,11,Morning,105,Statistics,Math,4,7.3,3,4,0,Cafe,Laptop,74,4,"Low energy, needed more breaks than expected"
S0311,2025-01-27,Monday,21:00,23:15,21,Night,135,Generative AI,GenAI,4,7.8,4,3,0,University Library,Laptop + Notebook,77,3,"Low energy, needed more breaks than expected"
